"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	"Multiple Cause of death"	"Multiple Cause of death Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Missouri"	"29"	12	201940	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"New Mexico"	"35"	10	71131	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Ohio"	"39"	16	392890	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Tennessee"	"47"	15	217732	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Texas"	"48"	57	1026807	5.6
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Alabama"	"01"	10	161735	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Arizona"	"04"	19	238976	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Arkansas"	"05"	13	101485	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"California"	"06"	20	1308569	1.5
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Colorado"	"08"	18	183469	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Florida"	"12"	40	615907	6.5
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Georgia"	"13"	29	368818	7.9
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Illinois"	"17"	23	427885	5.4
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Indiana"	"18"	25	234035	10.7
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Kansas"	"20"	16	103566	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Kentucky"	"21"	19	147459	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Louisiana"	"22"	21	152723	13.8
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Michigan"	"26"	24	337602	7.1
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Missouri"	"29"	19	201940	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Nevada"	"32"	11	93405	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"New Mexico"	"35"	10	71131	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"New York"	"36"	12	621884	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Ohio"	"39"	24	392890	6.1
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Pennsylvania"	"42"	21	416635	5.0
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"South Carolina"	"45"	15	165026	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Tennessee"	"47"	26	217732	11.9
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Texas"	"48"	85	1026807	8.3
	"15-19 years"	"15-19"	"Male"	"M"	"Intentional self-harm by jumping from a high place"	"X80"	"Intentional self-harm by jumping from a high place"	"X80"	"California"	"06"	10	1308569	Unreliable
	"20-24 years"	"20-24"	"Female"	"F"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"California"	"06"	10	1338452	Unreliable
	"20-24 years"	"20-24"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"California"	"06"	28	1338452	2.1
	"20-24 years"	"20-24"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Colorado"	"08"	11	178981	Unreliable
	"20-24 years"	"20-24"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Florida"	"12"	14	618724	Unreliable
	"20-24 years"	"20-24"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Illinois"	"17"	15	425727	Unreliable
	"20-24 years"	"20-24"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Michigan"	"26"	10	342820	Unreliable
	"20-24 years"	"20-24"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Minnesota"	"27"	10	179390	Unreliable
	"20-24 years"	"20-24"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"New York"	"36"	12	680026	Unreliable
	"20-24 years"	"20-24"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Pennsylvania"	"42"	13	409452	Unreliable
	"20-24 years"	"20-24"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Texas"	"48"	31	962303	3.2
	"20-24 years"	"20-24"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"California"	"06"	28	1338452	2.1
	"20-24 years"	"20-24"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Colorado"	"08"	11	178981	Unreliable
	"20-24 years"	"20-24"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Florida"	"12"	14	618724	Unreliable
	"20-24 years"	"20-24"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Illinois"	"17"	15	425727	Unreliable
	"20-24 years"	"20-24"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Michigan"	"26"	10	342820	Unreliable
	"20-24 years"	"20-24"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Minnesota"	"27"	10	179390	Unreliable
	"20-24 years"	"20-24"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"New York"	"36"	12	680026	Unreliable
	"20-24 years"	"20-24"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Pennsylvania"	"42"	13	409452	Unreliable
	"20-24 years"	"20-24"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Texas"	"48"	31	962303	3.2
	"20-24 years"	"20-24"	"Female"	"F"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Texas"	"48"	11	962303	Unreliable
	"20-24 years"	"20-24"	"Female"	"F"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Georgia"	"13"	10	351620	Unreliable
	"20-24 years"	"20-24"	"Female"	"F"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Pennsylvania"	"42"	11	409452	Unreliable
	"20-24 years"	"20-24"	"Female"	"F"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Texas"	"48"	11	962303	Unreliable
	"20-24 years"	"20-24"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Alabama"	"01"	17	166366	Unreliable
	"20-24 years"	"20-24"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Arizona"	"04"	17	252422	Unreliable
	"20-24 years"	"20-24"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Arkansas"	"05"	12	103353	Unreliable
	"20-24 years"	"20-24"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"California"	"06"	107	1429323	7.5
	"20-24 years"	"20-24"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Colorado"	"08"	19	198386	Unreliable
	"20-24 years"	"20-24"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Connecticut"	"09"	14	128259	Unreliable
	"20-24 years"	"20-24"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Florida"	"12"	50	650444	7.7
	"20-24 years"	"20-24"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Georgia"	"13"	23	366728	6.3
	"20-24 years"	"20-24"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Hawaii"	"15"	15	52268	Unreliable
	"20-24 years"	"20-24"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Illinois"	"17"	45	440632	10.2
	"20-24 years"	"20-24"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Indiana"	"18"	24	243202	9.9
	"20-24 years"	"20-24"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Iowa"	"19"	13	118833	Unreliable
	"20-24 years"	"20-24"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Kansas"	"20"	15	113186	Unreliable
	"20-24 years"	"20-24"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Maryland"	"24"	15	196744	Unreliable
	"20-24 years"	"20-24"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Massachusetts"	"25"	18	247129	Unreliable
	"20-24 years"	"20-24"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Michigan"	"26"	25	359852	6.9
	"20-24 years"	"20-24"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Minnesota"	"27"	15	185008	Unreliable
	"20-24 years"	"20-24"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Mississippi"	"28"	12	106023	Unreliable
	"20-24 years"	"20-24"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Missouri"	"29"	22	212237	10.4
	"20-24 years"	"20-24"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"New Jersey"	"34"	26	290463	9.0
	"20-24 years"	"20-24"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"New Mexico"	"35"	12	74962	Unreliable
	"20-24 years"	"20-24"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"New York"	"36"	45	684286	6.6
	"20-24 years"	"20-24"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"North Carolina"	"37"	34	362558	9.4
	"20-24 years"	"20-24"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Ohio"	"39"	25	389045	6.4
	"20-24 years"	"20-24"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Oklahoma"	"40"	17	142942	Unreliable
	"20-24 years"	"20-24"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Oregon"	"41"	12	135075	Unreliable
	"20-24 years"	"20-24"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Pennsylvania"	"42"	43	422152	10.2
	"20-24 years"	"20-24"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"South Carolina"	"45"	12	173360	Unreliable
	"20-24 years"	"20-24"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"South Dakota"	"46"	11	31087	Unreliable
	"20-24 years"	"20-24"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Tennessee"	"47"	14	226109	Unreliable
	"20-24 years"	"20-24"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Texas"	"48"	87	1029220	8.5
	"20-24 years"	"20-24"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Utah"	"49"	18	129786	Unreliable
	"20-24 years"	"20-24"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Virginia"	"51"	21	302339	6.9
	"20-24 years"	"20-24"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Washington"	"53"	45	249645	18.0
	"20-24 years"	"20-24"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Wisconsin"	"55"	12	204039	Unreliable
	"20-24 years"	"20-24"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Alabama"	"01"	17	166366	Unreliable
	"20-24 years"	"20-24"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Arizona"	"04"	18	252422	Unreliable
	"20-24 years"	"20-24"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Arkansas"	"05"	12	103353	Unreliable
	"20-24 years"	"20-24"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"California"	"06"	108	1429323	7.6
	"20-24 years"	"20-24"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Colorado"	"08"	19	198386	Unreliable
	"20-24 years"	"20-24"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Connecticut"	"09"	14	128259	Unreliable
	"20-24 years"	"20-24"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Florida"	"12"	50	650444	7.7
	"20-24 years"	"20-24"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Georgia"	"13"	23	366728	6.3
	"20-24 years"	"20-24"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Hawaii"	"15"	15	52268	Unreliable
	"20-24 years"	"20-24"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Illinois"	"17"	45	440632	10.2
